Metadata Type,Metadata API,Source Tracking,Unlocked Packaging Second generation Unlocked Packaging,Managed Packaging Second generation Managed Packaging,"Classic Packaging First generation Packaging, and covers both Managed and Unmanaged through footnotes in the cells",Change Sets,Apex Metadata API,Known Issues
AccessControlPolicy,Exposed in Metadata API,Exposed in Source Tracking,Requires package without a namespace. 1,,,,,
AccountForecastSettings,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
AccountInsightsSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
AccountIntelligenceSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
AccountRelationshipShareRule,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
AccountSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
AcctMgrTargetSettings,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
ActionLinkGroupTemplate,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
ActionPlanTemplate,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,Exposed in Classic Packaging,Exposed in Change Sets,,
ActionsSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
ActivitiesSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
AddressSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
AIApplication,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
AIApplicationConfig,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
AIAssistantTemplate,,,,,,,,
AILiveMetricDefinition,,,,,,,,
AIReplyRecommendationsSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
AnalysisConfiguration,,,,,,,,
AnalyticSnapshot,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
AnalyticsSettings,Exposed in Metadata API,Exposed in Source Tracking,,,,,,
AnimationRule,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,,,,,
ApexClass,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,"2 Open, 2 Fixed"
ApexComponent,Exposed in Metadata API,Exposed in Source Tracking,Exposed in Unlocked Packaging,Exposed in Managed Packaging,Exposed in Classic Packaging,Exposed in Change Sets,,
