,metadataType,metadataAPI,unlockedPackaging
0,AccessControlPolicy,Exposed in Metadata API,Requires package without a namespace. 1
1,AccountForecastSettings,Exposed in Metadata API,Exposed in Unlocked Packaging
2,AccountInsightsSettings,Exposed in Metadata API,
3,AccountIntelligenceSettings,Exposed in Metadata API,
4,AccountRelationshipShareRule,Exposed in Metadata API,Exposed in Unlocked Packaging
5,AccountSettings,Exposed in Metadata API,
6,AcctMgrTargetSettings,Exposed in Metadata API,Exposed in Unlocked Packaging
7,ActionLinkGroupTemplate,Exposed in Metadata API,Exposed in Unlocked Packaging
8,ActionPlanTemplate,Exposed in Metadata API,Exposed in Unlocked Packaging
9,ActionsSettings,Exposed in Metadata API,
10,ActivitiesSettings,Exposed in Metadata API,
11,AddressSettings,Exposed in Metadata API,
12,AIApplication,Exposed in Metadata API,Exposed in Unlocked Packaging
13,AIApplicationConfig,Exposed in Metadata API,Exposed in Unlocked Packaging
14,AIAssistantTemplate,,
15,AILiveMetricDefinition,,
16,AIReplyRecommendationsSettings,Exposed in Metadata API,
17,AnalysisConfiguration,,
18,AnalyticSnapshot,Exposed in Metadata API,Exposed in Unlocked Packaging
19,AnalyticsSettings,Exposed in Metadata API,
20,AnimationRule,Exposed in Metadata API,Exposed in Unlocked Packaging
21,ApexClass,Exposed in Metadata API,Exposed in Unlocked Packaging
22,ApexComponent,Exposed in Metadata API,Exposed in Unlocked Packaging
23,ApexEmailNotifications,Exposed in Metadata API,Exposed in Unlocked Packaging
24,ApexPage,Exposed in Metadata API,Exposed in Unlocked Packaging
25,ApexSettings,Exposed in Metadata API,
26,ApexTestSuite,Exposed in Metadata API,Requires package without a namespace. 1
27,ApexTrigger,Exposed in Metadata API,Exposed in Unlocked Packaging
28,AppAnalyticsSettings,Exposed in Metadata API,
29,AppExperienceSettings,Exposed in Metadata API,
30,AppleDomainVerification,,
31,ApplicationRecordTypeConfig,Exposed in Metadata API,Exposed in Unlocked Packaging
32,AppMenu,Exposed in Metadata API,
33,AppointmentSchedulingPolicy,Exposed in Metadata API,Exposed in Unlocked Packaging
34,ApprovalProcess,Exposed in Metadata API,Requires package without a namespace. 1
35,ArchiveSettings,Exposed in Metadata API,
36,AssetSettings,,
37,AssignmentRules,Exposed in Metadata API,
38,AssistantContextItem,Exposed in Metadata API,Exposed in Unlocked Packaging
39,AssistantDefinition,Exposed in Metadata API,Exposed in Unlocked Packaging
40,AssistantSkillQuickAction,Exposed in Metadata API,Exposed in Unlocked Packaging
41,AssistantSkillSobjectAction,Exposed in Metadata API,Exposed in Unlocked Packaging
42,AssistantVersion,Exposed in Metadata API,Exposed in Unlocked Packaging
43,Audience,Exposed in Metadata API,
44,AuraDefinitionBundle,Exposed in Metadata API,Exposed in Unlocked Packaging
45,AuthProvider,Exposed in Metadata API,Requires package without a namespace. 1
46,AutomatedContactsSettings,Exposed in Metadata API,
47,AutoResponseRules,Exposed in Metadata API,
48,BatchCalcJobDefinition,Exposed in Metadata API,Exposed in Unlocked Packaging
49,BatchProcessJobDefinition,Exposed in Metadata API,Exposed in Unlocked Packaging
50,BenefitAction,Exposed in Metadata API,Exposed in Unlocked Packaging
51,BlacklistedConsumer,Exposed in Metadata API,
52,BlockchainSettings,Exposed in Metadata API,
53,Bot,Exposed in Metadata API,Requires package without a namespace. 1
54,BotSettings,Exposed in Metadata API,
55,BotVersion,Exposed in Metadata API,Requires package without a namespace. 1
56,BrandingSet,Exposed in Metadata API,Exposed in Unlocked Packaging
57,BriefcaseDefinition,Exposed in Metadata API,Exposed in Unlocked Packaging
58,BusinessHoursSettings,Exposed in Metadata API,
59,BusinessProcess,Exposed in Metadata API,Exposed in Unlocked Packaging
60,BusinessProcessGroup,Exposed in Metadata API,Exposed in Unlocked Packaging
61,CallCenter,Exposed in Metadata API,Requires package without a namespace. 1
62,CallCoachingMediaProvider,Exposed in Metadata API,
63,CampaignInfluenceModel,Exposed in Metadata API,Exposed in Unlocked Packaging
64,CampaignSettings,Exposed in Metadata API,
65,CanvasMetadata,Exposed in Metadata API,Exposed in Unlocked Packaging
66,CareProviderSearchConfig,Exposed in Metadata API,Exposed in Unlocked Packaging
67,CareRequestConfiguration,Exposed in Metadata API,Exposed in Unlocked Packaging
68,CareSystemFieldMapping,Exposed in Metadata API,Exposed in Unlocked Packaging
69,CaseClassificationSettings,Exposed in Metadata API,
70,CaseSettings,Exposed in Metadata API,
71,CaseSubjectParticle,Exposed in Metadata API,Exposed in Unlocked Packaging
72,Certificate,Exposed in Metadata API,Exposed in Unlocked Packaging
73,ChannelLayout,Exposed in Metadata API,
74,ChannelObjectLinkingRule,Exposed in Metadata API,Exposed in Unlocked Packaging
75,ChatterAnswersSettings,Exposed in Metadata API,
76,ChatterEmailsMDSettings,Exposed in Metadata API,
77,ChatterExtension,Exposed in Metadata API,Exposed in Unlocked Packaging
78,ChatterSettings,Exposed in Metadata API,
79,CleanDataService,Exposed in Metadata API,Exposed in Unlocked Packaging
80,CMSConnectSource,Exposed in Metadata API,
81,CommandAction,Exposed in Metadata API,Exposed in Unlocked Packaging
82,CommunitiesSettings,Exposed in Metadata API,
83,Community,Exposed in Metadata API,
84,CommunityTemplateDefinition,Exposed in Metadata API,Exposed in Unlocked Packaging
85,CommunityThemeDefinition,Exposed in Metadata API,Exposed in Unlocked Packaging
86,CompactLayout,Exposed in Metadata API,Exposed in Unlocked Packaging
87,CompanySettings,Exposed in Metadata API,
88,ConnectedApp,Exposed in Metadata API,
89,ConnectedAppSettings,Exposed in Metadata API,
90,ContentAsset,Exposed in Metadata API,Exposed in Unlocked Packaging
